Data; ipca_consumidor 
01/09/2005; 8,10 
01/10/2005; 7,70 
01/11/2005; 7,80 
01/12/2005; 7,50 
01/01/2006; 6,90 
01/02/2006; 7,00 
01/03/2006; 6,90 
01/04/2006; 6,50 
01/05/2006; 6,70 
01/06/2006; 6,30 
01/07/2006; 6,90 
01/08/2006; 6,40 
01/09/2006; 6,30 
01/10/2006; 5,80 
01/11/2006; 5,70 
01/12/2006; 5,70 
01/01/2007; 5,70 
01/02/2007; 5,70 
01/03/2007; 5,30 
01/04/2007; 5,20 
01/05/2007; 5,70 
01/06/2007; 5,70 
01/07/2007; 4,80 
01/08/2007; 4,90 
01/09/2007; 5,20 
01/10/2007; 6,00 
01/11/2007; 6,40 
01/12/2007; 5,50 
01/01/2008; 5,60 
01/02/2008; 5,80 
01/03/2008; 6,40 
01/04/2008; 6,70 
01/05/2008; 6,20 
01/06/2008; 6,80 
01/07/2008; 7,20 
01/08/2008; 7,40 
01/09/2008; 6,90 
01/10/2008; 6,70 
01/11/2008; 6,70 
01/12/2008; 6,70 
01/01/2009; 6,50 
01/02/2009; 6,70 
01/03/2009; 6,70 
01/04/2009; 6,80 
01/05/2009; 6,50 
01/06/2009; 6,60 
01/07/2009; 6,30 
01/08/2009; 6,50 
01/09/2009; 6,30 
01/10/2009; 6,00 
01/11/2009; 6,10 
01/12/2009; 6,30 
01/01/2010; 6,40 
01/02/2010; 7,00 
01/03/2010; 7,00 
01/04/2010; 5,90 
01/05/2010; 6,00 
01/06/2010; 6,00 
01/07/2010; 6,00 
01/08/2010; 6,10 
01/09/2010; 6,00 
01/10/2010; 5,90 
01/11/2010; 6,00 
01/12/2010; 6,20 
01/01/2011; 6,40 
01/02/2011; 6,60 
01/03/2011; 6,80 
01/04/2011; 6,60 
01/05/2011; 7,00 
01/06/2011; 6,80 
01/07/2011; 6,70 
01/08/2011; 6,80 
01/09/2011; 6,90 
01/10/2011; 7,00 
01/11/2011; 6,90 
01/12/2011; 6,70 
01/01/2012; 6,50 
01/02/2012; 6,60 
01/03/2012; 6,40 
01/04/2012; 6,40 
01/05/2012; 6,30 
01/06/2012; 6,40 
01/07/2012; 6,20 
01/08/2012; 6,40 
01/09/2012; 6,30 
01/10/2012; 6,30 
01/11/2012; 6,50 
01/12/2012; 6,40 
01/01/2013; 6,30 
01/02/2013; 6,90 
01/03/2013; 6,90 
01/04/2013; 7,00 
01/05/2013; 7,20 
01/06/2013; 7,20 
01/07/2013; 7,20 
01/08/2013; 7,00 
01/09/2013; 7,10 
01/10/2013; 7,10 
01/11/2013; 7,20 
01/12/2013; 7,10 
01/01/2014; 7,30 
01/02/2014; 7,20 
01/03/2014; 7,20 
01/04/2014; 7,50 
01/05/2014; 7,20 
01/06/2014; 7,40 
01/07/2014; 7,20 
01/08/2014; 7,20 
01/09/2014; 7,30 
01/10/2014; 7,50 
01/11/2014; 7,50 
01/12/2014; 7,40 
01/01/2015; 7,20 
01/02/2015; 7,90 
01/03/2015; 8,40 
01/04/2015; 8,80 
01/05/2015; 8,90 
01/06/2015; 9,20 
01/07/2015; 9,70 
01/08/2015; 10,00 
01/09/2015; 10,00 
01/10/2015; 10,00 
01/11/2015; 10,10 
01/12/2015; 11,00 
01/01/2016; 11,30 
01/02/2016; 11,40 
01/03/2016; 11,10 
01/04/2016; 10,70 
01/05/2016; 10,30 
01/06/2016; 10,50 
01/07/2016; 10,00 
01/08/2016; 9,80 
01/09/2016; 9,80 
01/10/2016; 9,10 
01/11/2016; 9,20 
01/12/2016; 9,10 
01/01/2017; 7,90 
01/02/2017; 7,60 
01/03/2017; 7,50 
01/04/2017; 7,50 
01/05/2017; 7,10 
01/06/2017; 6,90 
01/07/2017; 6,90 
01/08/2017; 6,30 
01/09/2017; 6,70 
01/10/2017; 6,40 
01/11/2017; 5,90 
01/12/2017; 5,80 
01/01/2018; 5,40 
01/02/2018; 5,40 
01/03/2018; 5,30 
01/04/2018; 5,00 
01/05/2018; 5,30 
01/06/2018; 5,20 
01/07/2018; 5,40 
01/08/2018; 5,71 
01/09/2018; 5,64 
01/10/2018; 5,70 
01/11/2018; 5,60 
01/12/2018; 5,40 
01/01/2019; 5,00 
01/02/2019; 4,90 
01/03/2019; 5,10 
01/04/2019; 5,30 
01/05/2019; 5,40 
01/06/2019; 5,40 
01/07/2019; 5,30 
01/08/2019; 5,10 
01/09/2019; 5,10 
01/10/2019; 4,90 
01/11/2019; 4,80 
01/12/2019; 4,80 
01/01/2020; 5,00 
01/02/2020; 5,00 
01/03/2020; 4,80 
01/04/2020; 5,10 
01/05/2020; 4,80 
01/06/2020; 4,80 
01/07/2020; 4,50 
01/08/2020; 4,30 
01/09/2020; 4,70 
01/10/2020; 4,60 
01/11/2020; 4,80 
01/12/2020; 5,20 
01/01/2021; 5,30 
01/02/2021; 5,30 
01/03/2021; 5,60 
01/04/2021; 5,70 
01/05/2021; 5,90 
01/06/2021; 6,10 
01/07/2021; 6,70 
01/08/2021; 6,90 
01/09/2021; 7,80 
01/10/2021; 9,00 
01/11/2021; 10,00 
01/12/2021; 10,10 
01/01/2022; 9,90 
01/02/2022; 10,20 
01/03/2022; 10,20 
01/04/2022; 10,60 
01/05/2022; 11,20 
01/06/2022; 11,30 
01/07/2022; 11,40 
01/08/2022; 10,50 
01/09/2022; 9,90 
01/10/2022; 9,30 
01/11/2022; 8,70 
01/12/2022; 8,80 
01/01/2023; 8,60 
01/02/2023; 8,30 
01/03/2023; 7,80 
01/04/2023; 8,30 
01/05/2023; 8,20 
01/06/2023; 7,70 
01/07/2023; 7,50 
01/08/2023; 7,30 
01/09/2023; 7,30 
01/10/2023; 7,50 
01/11/2023; 7,50 
01/12/2023; 7,00 
01/01/2024; 6,90 
01/02/2024; 6,80 
01/03/2024; 6,60 
01/04/2024; 6,30 
01/05/2024; 6,40 
01/06/2024; 6,40 
